Genotype;TP;Comp;Root;Counts;CountsRaw
WT;7;Root;0.1878;6176783.81256656;1160000
WT;7;Root;0.2582;1704105.34469404;440000
WT;7;Root;0.2099;4573606.47927585;960000
WT;7;Root;0.1896;14767932.4894515;2800000
WT;7;Root;0.153;12287581.6993464;1880000
WT;7;Root;0.181;2320441.98895028;420000
WT;7;Root;0.2127;17865538.3168782;3800000
WT;7;Root;0.2426;16488046.1665293;4000000
WT;7;Root;0.2638;2880970.43214557;760000
WT;7;Root;0.2912;6456043.95604396;1880000
KO;7;Root;0.315;1015873.01587302;320000
KO;7;Root;0.316;1835443.03797468;580000
KO;7;Root;0.1978;4448938.32153691;880000
KO;7;Root;0.206;2038834.95145631;420000
KO;7;Root;0.39;5641025.64102564;2200000
KO;7;Root;0.2858;8397480.75577327;2400000
KO;7;Root;0.2616;3669724.7706422;960000
KO;7;Root;0.1935;13436692.5064599;2600000
KO;7;Root;0.1893;3275224.51135763;620000
KO;7;Root;0.2143;6626224.91833878;1420000
WT;0;Soil;0.3062;18288700.1959504;
WT;0;Soil;0.303;50825082.5082508;
WT;0;Soil;0.2248;16903914.5907473;
WT;0;Soil;0.3058;26160889.470242;
WT;0;Soil;0.394;11167512.6903553;
KO;0;Soil;0.3639;12640835.3943391;
KO;0;Soil;0.3489;14330753.7976498;
KO;0;Soil;0.2738;11687363.0387144;
KO;0;Soil;0.3451;9852216.74876847;
KO;0;Soil;0.2298;13925152.3063534;
WT;7;Soil;0.3368;1662707.83847981;
WT;7;Soil;0.351;4387464.38746439;
WT;7;Soil;0.207;1835748.79227053;
WT;7;Soil;0.31;2580645.16129032;
WT;7;Soil;0.3486;1262191.62363741;
KO;7;Soil;0.3096;1485788.11369509;
KO;7;Soil;0.351;1424501.42450142;
KO;7;Soil;0.296;1081081.08108108;
KO;7;Soil;0.261;1302681.99233716;
KO;7;Soil;0.2809;1139195.44321823;
WT;0;Root;0.3062;18288700.1959504;
WT;0;Root;0.303;50825082.5082508;
WT;0;Root;0.2248;16903914.5907473;
WT;0;Root;0.3058;26160889.470242;
WT;0;Root;0.394;11167512.6903553;
KO;0;Root;0.3639;12640835.3943391;
KO;0;Root;0.3489;14330753.7976498;
KO;0;Root;0.2738;11687363.0387144;
KO;0;Root;0.3451;9852216.74876847;
KO;0;Root;0.2298;13925152.3063534;





