Genotype;Measured;TP;Comp;Shoot;CountsWT;CountsKO
MIX;Jesse;7;Root;0.266;4887218.04511278;751879.69924812
MIX;Jesse;7;Root;0.2659;5039488.52952238;300864.986837157
MIX;Jesse;7;Root;0.1224;22875816.9934641;9803921.56862745
MIX;Jesse;7;Root;0.17;7529411.76470588;941176.470588235
MIX;Jesse;7;Root;0.2229;6998654.10497981;897263.346792284
MIX;Jesse;7;Root;0.047;8510638.29787234;425531.914893617
MIX;Jesse;7;Root;0.266;451127.819548872;0
MIX;Jesse;7;Root;0.1911;0;0
MIX;Jesse;7;Root;0.1508;8488063.66047745;928381.962864722
MIX;Jesse;7;Root;0.1414;5233380.48090523;1272984.44130127
MIX;Jesse;0;Soil;0.4289;10725110.75;9326183.26
MIX;Jesse;0;Soil;0.2999;14004668.22;6002000.667
MIX;Jesse;0;Soil;0.3794;12651555.09;8961518.187
MIX;Jesse;0;Soil;0.2414;17398508.7;10770505.39
MIX;Jesse;0;Soil;0.3644;12074643.25;9879253.568
MIX;Jesse;7;Soil;0.2632;1671732.52279635;987841.945288754
MIX;Jesse;7;Soil;0.2838;1268498.94291755;704721.634954193
MIX;Jesse;7;Soil;0.2762;1086169.44243302;651701.665459812
MIX;Jesse;7;Soil;0.3432;1573426.57342657;466200.466200466
MIX;Jesse;7;Soil;0.414;1642512.07729469;772946.859903382
MIX;Jesse;0;Root;0.4289;10725110.75;9326183.26
MIX;Jesse;0;Root;0.2999;14004668.22;6002000.667
MIX;Jesse;0;Root;0.3794;12651555.09;8961518.187
MIX;Jesse;0;Root;0.2414;17398508.7;10770505.39
MIX;Jesse;0;Root;0.3644;12074643.25;9879253.568


