orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
WCS417	set17IT015	Carbon source D-Mannitol 10 mM	3-Aug-21 fluoroDangl_ML3_set17	413	2440868	6209	1452429	1446107	204	586	327.247.567.322.924	0.133097873755456	0.266168575632587	132.854.597.365.187	127.871.602.806.606	0.112871196600905	0.0273063973318424	-0.038289294887051	156.995.532.246.886	carbon source	Carbon source D-Mannitol 10 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT015	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	10	Mannitol										
WCS417	set17IT016	Carbon source D-Mannitol 5 mM	3-Aug-21 fluoroDangl_ML3_set17	414	2360816	4651	1405243	1399071	196	586	316.603.530.210.455	0.119073676651359	0.242427699125653	130.580.842.952.409	127.871.602.806.606	0.135549454213281	-0.0213638777023238	-0.0142080731309029	143.058.690.669.432	carbon source	Carbon source D-Mannitol 5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT016	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	5	Mannitol										
WCS417	set17IT017	Carbon source D-Mannitol 2.5 mM	3-Aug-21 fluoroDangl_ML3_set17	415	2372976	5813	1410338	1404466	196	586	317.824.394.659.425	0.118831549953368	0.284713065771734	131.647.366.479.525	127.871.602.806.606	0.124378546784035	0.0312598553277632	0.00472319125795825	16.463.856.287.978	carbon source	Carbon source D-Mannitol 2.5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT017	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	2.5	Mannitol										
WCS417	set17IT018	Carbon source L-Ornithine 10 mM	3-Aug-21 fluoroDangl_ML3_set17	416	2320253	6179	1377805	1371837	192	586	310.440.597.420.231	0.129116330779048	0.246918273968308	129.834.127.456.975	127.871.602.806.606	0.125168986020985	-0.00970335449897266	-0.0363153829254026	141.460.108.079.686	carbon source	Carbon source L-Ornithine 10 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT018	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	L-Ornithine	mM	10	Ornithine										
WCS417	set17IT019	Carbon source L-Ornithine 5 mM	3-Aug-21 fluoroDangl_ML3_set17	417	2497623	7176	1482108	1475595	208	586	333.920.570.264.766	0.163762253779916	0.244239383267434	129.752.278.221.908	127.871.602.806.606	0.097655489906021	-0.00929388842707309	-0.035136657474932	143.063.933.280.521	carbon source	Carbon source L-Ornithine 5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT019	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	L-Ornithine	mM	5	Ornithine										
WCS417	set17IT020	Carbon source L-Citrulline 10 mM	3-Aug-21 fluoroDangl_ML3_set17	418	2302951	7555	1367781	1361589	193	586	308.121.520.706.042	0.134057049013434	0.255590392573435	129.411.271.701.924	127.871.602.806.606	0.162366110474571	-0.0185249297590328	-0.0105264524067505	155.616.834.747.072	carbon source	Carbon source L-Citrulline 10 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT020	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	L-Citrulline	mM	10	Citrulline										
WCS417	set17IT021	Carbon source L-Citrulline 5 mM	3-Aug-21 fluoroDangl_ML3_set17	419	2078565	6303	1232778	1227336	170	586	277.740.665.308.893	0.14632236030221	0.254062760945126	128.273.020.717.471	127.871.602.806.606	0.12407765855527	0.0356217163492866	-0.0449416348525714	134.135.166.368.769	carbon source	Carbon source L-Citrulline 5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT021	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	L-Citrulline	mM	5	Citrulline										
WCS417	set17IT022	Carbon source D-Mannitol 10 mM	3-Aug-21 fluoroDangl_ML3_set17	420	2234942	5674	1330412	1324536	187	586	299.736.591.989.138	0.140717282400013	0.25830375322434	130.306.906.763.605	127.871.602.806.606	0.146650010611817	-0.0206904084669666	-0.0240479668209982	171.520.824.332.102	carbon source	Carbon source D-Mannitol 10 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT022	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	10	Mannitol										
WCS417	set17IT023	Carbon source D-Mannitol 5 mM	3-Aug-21 fluoroDangl_ML3_set17	421	2324153	5772	1379008	1372937	194	586	310.689.522.516.406	0.157482617502169	0.262016941787053	130.415.339.315.939	127.871.602.806.606	0.116707939683277	0.0286604542703756	-0.0192332856432358	175.085.168.459.367	carbon source	Carbon source D-Mannitol 5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT023	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	5	Mannitol										
WCS417	set17IT024	Carbon source D-Mannitol 2.5 mM	3-Aug-21 fluoroDangl_ML3_set17	422	2121650	4815	1259089	1253724	174	586	283.712.152.070.604	0.104507782204675	0.266907856149552	130.795.515.233.476	127.871.602.806.606	0.138837199255214	-0.00597576922824009	-0.0066538764051162	137.002.004.551.134	carbon source	Carbon source D-Mannitol 2.5 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT024	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	D-Mannitol	mM	2.5	Mannitol										
WCS417	set17IT025	Carbon source L-Ornithine 10 mM	3-Aug-21 fluoroDangl_ML3_set17	423	2849428	8860	1692678	1684599	238	586	381.217.243.720.299	0.176127251055994	0.243351100080323	128.345.394.707.273	127.871.602.806.606	0.139563183910316	-0.0487703653333745	-0.0337475987476296	143.689.750.252.844	carbon source	Carbon source L-Ornithine 10 mM	fluoroDangl_ML3	Adam	03-Aug-21	fluoroDangl_ML3_set17	IT025	RCH2_defined_noCarbon	30	7	"24-well transparent microplate; Multitron"	Aerobic	Liquid	700 rpm	L-Ornithine	mM	10	Ornithine										
