Treatment;Genotype;Plate;Rep;Label;Area_px;Area_mm2;Area_cm2;Carbon;Concentration;Time
Glc 1 mM;gacA;1;1;1mM GLU (20).JPG;3431;54,97516424;0,549751642;Glc;1;48 h
Glc 1 mM;fleQ;1;2;1mM GLU (20).JPG;16853;270,0368531;2,700368531;Glc;1;48 h
Glc 1 mM;iol;1;3;1mM GLU (20).JPG;149664;2398,077231;23,98077231;Glc;1;48 h
Glc 1 mM;WT;1;4;1mM GLU (20).JPG;343395;5502,24323;55,0224323;Glc;1;48 h
Glc 1 mM;gacA;2;5;1mM GLU (19).JPG;4597;73,65806762;0,736580676;Glc;1;48 h
Glc 1 mM;fleQ;2;6;1mM GLU (19).JPG;49825;798,3496235;7,983496235;Glc;1;48 h
Glc 1 mM;iol;2;7;1mM GLU (19).JPG;335115;5369,572184;53,69572184;Glc;1;48 h
Glc 1 mM;WT;2;8;1mM GLU (19).JPG;15962;255,7602948;2,557602948;Glc;1;48 h
Glc 1 mM;gacA;3;9;1mM GLU (18).JPG;3442;55,15141804;0,55151418;Glc;1;48 h
Glc 1 mM;fleQ;3;10;1mM GLU (18).JPG;22444;359,6218555;3,596218555;Glc;1;48 h
Glc 1 mM;iol;3;11;1mM GLU (18).JPG;103751;1662,40987;16,6240987;Glc;1;48 h
Glc 1 mM;WT;3;12;1mM GLU (18).JPG;241860;3875,34049;38,7534049;Glc;1;48 h
Glc 1 mM;gacA;4;13;1mM GLU (17).JPG;2398;38,42332959;0,384233296;Glc;1;48 h
Glc 1 mM;fleQ;4;14;1mM GLU (17).JPG;24423;391,3315174;3,913315174;Glc;1;48 h
Glc 1 mM;iol;4;15;1mM GLU (17).JPG;250094;4007,274475;40,07274475;Glc;1;48 h
Glc 1 mM;WT;4;16;1mM GLU (17).JPG;258728;4145,617689;41,45617689;Glc;1;48 h
Glc 1 mM;gacA;5;17;1mM GLU (16).JPG;4318;69,18763019;0,691876302;Glc;1;48 h
Glc 1 mM;fleQ;5;18;1mM GLU (16).JPG;25345;406,1047909;4,061047909;Glc;1;48 h
Glc 1 mM;iol;5;19;1mM GLU (16).JPG;15891;254,6226566;2,546226566;Glc;1;48 h
Glc 1 mM;WT;5;20;1mM GLU (16).JPG;19718;315,9429579;3,159429579;Glc;1;48 h
Glc 1 mM;gacA;6;21;1mM GLU (15).JPG;5285;84,681942;0,84681942;Glc;1;48 h
Glc 1 mM;fleQ;6;22;1mM GLU (15).JPG;39505;632,9915078;6,329915078;Glc;1;48 h
Glc 1 mM;iol;6;23;1mM GLU (15).JPG;22754;364,5890082;3,645890082;Glc;1;48 h
Glc 1 mM;WT;6;24;1mM GLU (15).JPG;16424;263,1629547;2,631629547;Glc;1;48 h
Glc 1 mM;gacA;7;25;1mM GLU (14).JPG;2648;42,4290979;0,424290979;Glc;1;48 h
Glc 1 mM;fleQ;7;26;1mM GLU (14).JPG;21062;337,4779683;3,374779683;Glc;1;48 h
Glc 1 mM;iol;7;27;1mM GLU (14).JPG;254816;4082,935427;40,82935427;Glc;1;48 h
Glc 1 mM;WT;7;28;1mM GLU (14).JPG;379971;6088,303157;60,88303157;Glc;1;48 h
Glc 1 mM;gacA;8;29;1mM GLU (13).JPG;3147;50,42461144;0,504246114;Glc;1;48 h
Glc 1 mM;fleQ;8;30;1mM GLU (13).JPG;24555;393,4465631;3,934465631;Glc;1;48 h
Glc 1 mM;iol;8;31;1mM GLU (13).JPG;200598;3214,196443;32,14196443;Glc;1;48 h
Glc 1 mM;WT;8;32;1mM GLU (13).JPG;312966;5014,677135;50,14677135;Glc;1;48 h
Glc 1 mM;gacA;9;33;1mM GLU (12).JPG;5219;83,62441916;0,836244192;Glc;1;48 h
Glc 1 mM;fleQ;9;34;1mM GLU (12).JPG;12613;202,0990226;2,020990226;Glc;1;48 h
Glc 1 mM;iol;9;35;1mM GLU (12).JPG;249357;3995,46547;39,9546547;Glc;1;48 h
Glc 1 mM;WT;9;36;1mM GLU (12).JPG;14951;239,5609678;2,395609678;Glc;1;48 h
Glc 1 mM;gacA;10;37;1mM GLU (11).JPG;5744;92,03653261;0,920365326;Glc;1;48 h
Glc 1 mM;fleQ;10;38;1mM GLU (11).JPG;20064;321,4869412;3,214869412;Glc;1;48 h
Glc 1 mM;iol;10;39;1mM GLU (11).JPG;13005;208,3800673;2,083800673;Glc;1;48 h
Glc 1 mM;WT;10;40;1mM GLU (11).JPG;193953;3107,723121;31,07723121;Glc;1;48 h
Glc 1 mM;gacA;11;41;1mM GLU (10).JPG;5208;83,44816536;0,834481654;Glc;1;48 h
Glc 1 mM;fleQ;11;42;1mM GLU (10).JPG;6246;100,0801154;1,000801154;Glc;1;48 h
Glc 1 mM;iol;11;43;1mM GLU (10).JPG;200560;3213,587566;32,13587566;Glc;1;48 h
Glc 1 mM;WT;11;44;1mM GLU (10).JPG;20545;329,1940394;3,291940394;Glc;1;48 h
Glc 1 mM;gacA;12;45;1mM GLU (9).JPG;3553;56,92997917;0,569299792;Glc;1;48 h
Glc 1 mM;fleQ;12;46;1mM GLU (9).JPG;19946;319,5962186;3,195962186;Glc;1;48 h
Glc 1 mM;iol;12;47;1mM GLU (9).JPG;213652;3423,361641;34,23361641;Glc;1;48 h
Glc 1 mM;WT;12;48;1mM GLU (9).JPG;19358;310,1746515;3,101746515;Glc;1;48 h
Glc 1 mM;gacA;13;49;1mM GLU (8).JPG;2335;37,41387598;0,37413876;Glc;1;48 h
Glc 1 mM;fleQ;13;50;1mM GLU (8).JPG;23503;376,59029;3,7659029;Glc;1;48 h
Glc 1 mM;iol;13;51;1mM GLU (8).JPG;13378;214,3566736;2,143566736;Glc;1;48 h
Glc 1 mM;WT;13;52;1mM GLU (8).JPG;24764;396,7953854;3,967953854;Glc;1;48 h
Glc 1 mM;gacA;14;53;1mM GLU (7).JPG;3965;63,53148534;0,635314853;Glc;1;48 h
Glc 1 mM;fleQ;14;54;1mM GLU (7).JPG;20112;322,2560487;3,222560487;Glc;1;48 h
Glc 1 mM;iol;14;55;1mM GLU (7).JPG;18209;291,7641404;2,917641404;Glc;1;48 h
Glc 1 mM;WT;14;56;1mM GLU (7).JPG;26862;430,411793;4,30411793;Glc;1;48 h
Glc 1 mM;gacA;15;57;1mM GLU (6).JPG;5421;86,86107996;0,8686108;Glc;1;48 h
Glc 1 mM;fleQ;15;58;1mM GLU (6).JPG;23890;382,7912194;3,827912194;Glc;1;48 h
Glc 1 mM;iol;15;59;1mM GLU (6).JPG;246554;3950,552796;39,50552796;Glc;1;48 h
Glc 1 mM;WT;15;60;1mM GLU (6).JPG;540879;8666,543823;86,66543823;Glc;1;48 h
Glc 1 mM;gacA;16;61;1mM GLU (5).JPG;5684;91,07514821;0,910751482;Glc;1;48 h
Glc 1 mM;fleQ;16;62;1mM GLU (5).JPG;18792;301,1055921;3,011055921;Glc;1;48 h
Glc 1 mM;iol;16;63;1mM GLU (5).JPG;20862;334,2733536;3,342733536;Glc;1;48 h
