RS158	WCS134	WCS317	WCS417	CHA0	WCS358
OG0000000		KMPKMMIG_00258, KMPKMMIG_00271, KMPKMMIG_00402, KMPKMMIG_00403, KMPKMMIG_01122, KMPKMMIG_01964, KMPKMMIG_02231, KMPKMMIG_02348, KMPKMMIG_02421, KMPKMMIG_02422, KMPKMMIG_02510, KMPKMMIG_02918, KMPKMMIG_02962, KMPKMMIG_03102, KMPKMMIG_03660, KMPKMMIG_03775, KMPKMMIG_03860, KMPKMMIG_04054, KMPKMMIG_04084, KMPKMMIG_04218, KMPKMMIG_04408, KMPKMMIG_04430, KMPKMMIG_04534, KMPKMMIG_04563, KMPKMMIG_04650, KMPKMMIG_04899, KMPKMMIG_05135, KMPKMMIG_05217, KMPKMMIG_05220, KMPKMMIG_05223, KMPKMMIG_05740, KMPKMMIG_05751, KMPKMMIG_05775, KMPKMMIG_05786, KMPKMMIG_05828, KMPKMMIG_05829	ODAKOFOI_00828, ODAKOFOI_01757, ODAKOFOI_01910, ODAKOFOI_03847, ODAKOFOI_04146, ODAKOFOI_04197, ODAKOFOI_04370	NLBLAPBN_03435, NLBLAPBN_05282		
OG0000001	FBBKCKAA_00076, FBBKCKAA_00795, FBBKCKAA_01343, FBBKCKAA_01344, FBBKCKAA_02665	KMPKMMIG_00374, KMPKMMIG_01196, KMPKMMIG_02886, KMPKMMIG_03518, KMPKMMIG_03519, KMPKMMIG_05242, KMPKMMIG_05820	ODAKOFOI_00222, ODAKOFOI_00362, ODAKOFOI_00540, ODAKOFOI_00550, ODAKOFOI_03139, ODAKOFOI_03140, ODAKOFOI_03711	NLBLAPBN_02669, NLBLAPBN_05380, NLBLAPBN_05381, NLBLAPBN_05586	AGNHPPFD_02412, AGNHPPFD_02740, AGNHPPFD_02886, AGNHPPFD_03268, AGNHPPFD_03650, AGNHPPFD_05908, AGNHPPFD_05909, AGNHPPFD_06133	JLCECJFP_00266, JLCECJFP_00267, JLCECJFP_00426, JLCECJFP_01485, JLCECJFP_03528, JLCECJFP_04011, JLCECJFP_04273
OG0000002	FBBKCKAA_02562, FBBKCKAA_04202, FBBKCKAA_04927	KMPKMMIG_00111, KMPKMMIG_00944, KMPKMMIG_01134, KMPKMMIG_01574, KMPKMMIG_02877, KMPKMMIG_04284, KMPKMMIG_05132	ODAKOFOI_00003, ODAKOFOI_00447, ODAKOFOI_00618, ODAKOFOI_00647, ODAKOFOI_01480, ODAKOFOI_02010, ODAKOFOI_03579, ODAKOFOI_03771, ODAKOFOI_03825, ODAKOFOI_04628	NLBLAPBN_00133, NLBLAPBN_01016, NLBLAPBN_01916, NLBLAPBN_02571, NLBLAPBN_03156, NLBLAPBN_03227, NLBLAPBN_05662	AGNHPPFD_00131, AGNHPPFD_00151, AGNHPPFD_01009, AGNHPPFD_02368, AGNHPPFD_02442, AGNHPPFD_03357, AGNHPPFD_04275	JLCECJFP_00376, JLCECJFP_00700, JLCECJFP_01828, JLCECJFP_01965, JLCECJFP_02139, JLCECJFP_03553, JLCECJFP_03883, JLCECJFP_04856, JLCECJFP_04976, JLCECJFP_05211
OG0000003	FBBKCKAA_02563, FBBKCKAA_04201, FBBKCKAA_04926	KMPKMMIG_00112, KMPKMMIG_00943, KMPKMMIG_01133, KMPKMMIG_01573, KMPKMMIG_02876, KMPKMMIG_04104, KMPKMMIG_04285, KMPKMMIG_05133	ODAKOFOI_00002, ODAKOFOI_00446, ODAKOFOI_00619, ODAKOFOI_00648, ODAKOFOI_01479, ODAKOFOI_02009, ODAKOFOI_03578, ODAKOFOI_03770, ODAKOFOI_03824, ODAKOFOI_04627	NLBLAPBN_00132, NLBLAPBN_01017, NLBLAPBN_01917, NLBLAPBN_02570, NLBLAPBN_03155, NLBLAPBN_03228, NLBLAPBN_05661	AGNHPPFD_00132, AGNHPPFD_00150, AGNHPPFD_01010, AGNHPPFD_02367, AGNHPPFD_02441, AGNHPPFD_03356, AGNHPPFD_03541, AGNHPPFD_04276	JLCECJFP_00377, JLCECJFP_00701, JLCECJFP_01829, JLCECJFP_01964, JLCECJFP_03554, JLCECJFP_03884, JLCECJFP_04855, JLCECJFP_04977, JLCECJFP_05210
OG0000004	FBBKCKAA_00998, FBBKCKAA_01821, FBBKCKAA_02396, FBBKCKAA_04163, FBBKCKAA_04597	KMPKMMIG_00446, KMPKMMIG_02429, KMPKMMIG_02663, KMPKMMIG_03867, KMPKMMIG_04462, KMPKMMIG_05496	ODAKOFOI_00141, ODAKOFOI_00635, ODAKOFOI_00692, ODAKOFOI_00722, ODAKOFOI_03485, ODAKOFOI_03892, ODAKOFOI_04138	NLBLAPBN_01872, NLBLAPBN_01885, NLBLAPBN_02867, NLBLAPBN_03194, NLBLAPBN_04347	AGNHPPFD_00263, AGNHPPFD_02557, AGNHPPFD_02964, AGNHPPFD_05205	JLCECJFP_01851, JLCECJFP_03220, JLCECJFP_04016, JLCECJFP_04477
OG0000005	FBBKCKAA_01735, FBBKCKAA_02561	KMPKMMIG_02314, KMPKMMIG_02454, KMPKMMIG_04283, KMPKMMIG_05131, KMPKMMIG_05236	ODAKOFOI_00448, ODAKOFOI_00605, ODAKOFOI_00632, ODAKOFOI_00646, ODAKOFOI_00813, ODAKOFOI_03792	NLBLAPBN_01915, NLBLAPBN_02320, NLBLAPBN_02468, NLBLAPBN_02891, NLBLAPBN_03157	AGNHPPFD_02369, AGNHPPFD_02470, AGNHPPFD_03358, AGNHPPFD_03543, AGNHPPFD_04180	JLCECJFP_00375, JLCECJFP_00699, JLCECJFP_01375, JLCECJFP_01827, JLCECJFP_03026, JLCECJFP_04857, JLCECJFP_04963, JLCECJFP_04975
OG0000006	FBBKCKAA_00148, FBBKCKAA_00677, FBBKCKAA_03146, FBBKCKAA_03469	KMPKMMIG_02571, KMPKMMIG_03034, KMPKMMIG_04024, KMPKMMIG_05557	ODAKOFOI_00024, ODAKOFOI_01053, ODAKOFOI_01282, ODAKOFOI_04256	NLBLAPBN_01222, NLBLAPBN_01268, NLBLAPBN_03644, NLBLAPBN_03912, NLBLAPBN_04438	AGNHPPFD_01186, AGNHPPFD_01300, AGNHPPFD_02173, AGNHPPFD_04744	JLCECJFP_00503, JLCECJFP_00647, JLCECJFP_01609, JLCECJFP_01679, JLCECJFP_04649
OG0000007	FBBKCKAA_01148, FBBKCKAA_01738, FBBKCKAA_02790, FBBKCKAA_03681	KMPKMMIG_00229, KMPKMMIG_00252, KMPKMMIG_00316, KMPKMMIG_00608, KMPKMMIG_03935, KMPKMMIG_04323, KMPKMMIG_05447	ODAKOFOI_01525, ODAKOFOI_02510	NLBLAPBN_00435, NLBLAPBN_01942, NLBLAPBN_05553	AGNHPPFD_02887, AGNHPPFD_03055, AGNHPPFD_06081	JLCECJFP_02664, JLCECJFP_03917
OG0000008	FBBKCKAA_00696, FBBKCKAA_01056, FBBKCKAA_01349, FBBKCKAA_01593, FBBKCKAA_01963, FBBKCKAA_03426, FBBKCKAA_03997, FBBKCKAA_04057, FBBKCKAA_04120, FBBKCKAA_04121, FBBKCKAA_05084	KMPKMMIG_00772, KMPKMMIG_02558	ODAKOFOI_01395, ODAKOFOI_03242, ODAKOFOI_03794	NLBLAPBN_00171, NLBLAPBN_01357, NLBLAPBN_04707	AGNHPPFD_01289, AGNHPPFD_02779, AGNHPPFD_05169, AGNHPPFD_05181	JLCECJFP_00130, JLCECJFP_01386, JLCECJFP_01970, JLCECJFP_02480, JLCECJFP_02481, JLCECJFP_04656, JLCECJFP_05129
OG0000009	FBBKCKAA_00478, FBBKCKAA_00736, FBBKCKAA_01773, FBBKCKAA_03043, FBBKCKAA_03364	KMPKMMIG_00506, KMPKMMIG_01202, KMPKMMIG_05315, KMPKMMIG_05732	ODAKOFOI_00557, ODAKOFOI_00637, ODAKOFOI_01881, ODAKOFOI_02970, ODAKOFOI_03937	NLBLAPBN_02214, NLBLAPBN_02912, NLBLAPBN_05504	AGNHPPFD_02418, AGNHPPFD_03582, AGNHPPFD_03708, AGNHPPFD_06033	JLCECJFP_00364, JLCECJFP_04532, JLCECJFP_04805, JLCECJFP_05332
